edad,educ,wage
22,5,2862.0768398528026
52,0,1877.2836248179037
45,1,3151.0876650904765
76,5,2702.8915758779094
49,10,2601.852378170445
57,1,2947.8506236287753
28,9,1538.4302871274704
49,12,3685.115336633098
42,8,2417.108333518716
18,12,2795.855551955314
44,4,1915.3768876962745
30,13,2906.62409148059
29,5,3702.636296481414
25,10,1967.0511448830089
58,8,2551.254445395015
63,2,2181.2353006316525
76,8,2816.76397670736
57,1,2956.7424650973426
20,7,2642.8588262613316
44,8,2397.5589168944034
27,13,1647.5344452227678
31,0,2341.346109217731
58,12,2233.654928264597
48,12,3213.9405408645703
40,9,2384.3494488078973
34,0,2706.170323970934
77,14,3463.6700894678875
48,13,2683.216167375083
70,3,2785.2074810439117
54,1,2157.567160303972
41,6,1542.694641875198
51,0,2253.489503943795
32,10,1974.5848586360262
19,0,1597.280153384983
33,5,2016.9099305231582
30,14,3970.451441995896
39,7,3139.9066582378628
38,1,1072.2046515048462
60,12,3485.5014000384335
74,10,2431.4640273356795
27,1,1447.580809798917
59,3,1881.4060183269548
40,2,2395.4397952311583
45,5,2005.1194768110215
29,1,3466.5694224397644
37,0,1997.7994529079735
34,1,2848.97054501058
49,3,2839.1003785547496
30,14,2628.6626503100106
36,2,2170.988633932121
22,2,1502.774945471038
49,10,2516.0135088721213
77,10,1746.469763772318
54,1,2466.048334787017
39,2,2826.7225157901
24,1,1735.545924950889
40,5,1121.472966989116
65,2,3824.940680945238
72,6,2129.650115090972
24,4,3047.648122243749
27,3,2420.2856627627034
71,2,2165.501031035974
44,14,2139.20937597805
19,4,2728.8193599813894
34,11,2970.2339155381164
74,14,3472.3836013105874
48,5,1766.8408145185736
63,0,3473.701128068778
47,1,2004.894820472378
57,11,1690.4451651264053
77,12,3227.4768143277497
46,6,2477.9547245805766
38,10,2829.832729223915
28,1,2231.586502891287
71,3,2207.6975227599314
21,7,1627.6828807345037
67,14,1999.8119321567385
73,6,2281.9757516117425
24,3,2452.5185421850733
74,5,3640.3044813552838
35,3,3507.7978239778067
40,13,2738.3369612151328
60,7,2613.4390639660146
66,10,2071.0323788729
76,1,2472.1635956210466
42,12,1860.1025952711548
26,14,2472.7204875945745
45,10,2120.848143654001
74,4,2978.1236757305865
33,8,2688.6657922141994
28,9,3176.9701330867742
71,7,1628.7260137749397
52,11,2476.502818986437
33,11,4397.348900638099
54,2,3326.184152691363
39,0,1933.3527393770119
39,1,1558.8157454059956
75,3,3650.773422666307
67,5,2954.949830221481
41,5,2788.6462879749624
19,7,2293.6050158779926
21,14,3005.829933927877
20,5,1677.0741587779103
35,11,2625.334020805428
45,8,2950.752221690696
18,7,2662.1413194163747
39,5,2257.2091202099377
38,1,3161.643252291557
77,0,2430.701952491702
44,6,2442.492119181412
63,2,2185.1612708921302
